DBN,Year,PreK,Kindergarten,Grade.1,Grade.2,Grade.3,Grade.4,Grade.5,Grade.6,Grade.7,Grade.8,Grade.9,Grade.10,Grade.11,Grade.12,Ungraded,Total,SCC,CTT,other,bilingual,dualLang,esl,ELLwithIEP,overage,nativeAmerican,black,latino,asian,white,male,female,attendance,stability,povertyRate,temporaryHousing,immigrants,principalSuspensions,superintendentSuspensions,cte,earlyCollege,teachers,admin,paraprofessionals,fullyLicensed,moreThanTwoTeaching,moreThanFiveTeaching,mastersDegreeOrHigher,coreClassHighlyQualifiedTeacher
01M015,2008,18,42,37,36,38,47,40,0,0,0,0,0,0,0,3,261,12,18,23,0,0,52,0,0,1.2,29.9,60.2,6.1,2.7,54.8,45.2,90.4,87.6,89.4,6,0,6,7,0,0,23,10,5,100,47.8,47.8,96,96.6
01M019,2008,28,46,43,47,53,48,68,0,0,0,0,0,0,0,5,338,19,10,34,0,0,37,3,0,0.9,21.3,58.9,12.4,6.5,47.9,52.1,91.5,93,61.5,0,4,1,1,0,0,29,5,3,100,72.4,44.8,86,71.2
01M020,2008,36,81,107,94,89,101,102,0,0,0,0,0,0,0,0,610,10,29,37,0,0,181,8,0,0.3,7.5,65.2,24.8,2.1,48,52,93.6,94.6,92.5,10,5,3,3,0,0,48,13,5,97.9,75,64.6,88,82.1
01M034,2008,18,30,32,33,35,44,32,63,73,59,1,0,0,0,0,420,35,0,49,0,0,38,0,0,0.2,21,71.7,5,2.1,50,50,88.8,92.6,76.8,9,1,27,26, TBD ,0,35,12,1,100,68.6,54.3,77,92.8
01M063,2008,9,24,33,42,37,30,24,0,0,0,0,0,0,0,3,202,12,16,13,0,0,7,3,0,0,19.3,64.8,8.9,6.9,58.9,41.1,90.5,87.4,63.9,1,0,2,3,0,0,21,11,2,100,71.4,52.4,90,90
01M110,2008,38,82,79,63,85,59,70,0,0,0,0,0,0,0,2,478,9,47,25,0,0,23,2,0,1.5,14.2,55.2,14.4,14.6,47.5,52.5,93.5,96.4,58.2,1,0,0,0,0,0,38,10,3,97.4,76.3,55.3,97,96.2
01M134,2008,36,66,49,56,63,48,45,0,0,0,0,0,0,0,4,367,18,0,30,0,0,37,8,0,1.1,22.1,56.7,19.1,1.1,46,54,91.5,90.2,77.8,3,1,3,1,0,0,32,11,4,100,81.3,43.8,94,100
01M137,2008,16,39,36,30,36,31,37,0,0,0,0,0,0,0,17,242,44,0,16,0,0,34,6,0,0.8,31,59.1,8.7,0.4,52.9,47.1,91.1,90.9,78.1,6,3,1,17,0,0,25,16,7,100,84,76,88,100
01M140,2008,15,29,34,48,41,36,41,66,72,68,0,0,0,0,0,450,38,9,59,0,0,58,8,3,0.4,17.6,75.6,4.2,2.2,55.1,44.9,91,93.3,79.9,17,6,18,12,0,0,39,10,2,100,69.2,51.3,97,94.9
01M142,2008,35,65,76,65,73,66,67,0,0,0,0,0,0,0,3,450,39,60,19,0,0,39,14,0,0.2,19.6,73.6,4.2,2.4,49.6,50.4,91.1,93.5,81.4,2,5,5,25,0,0,44,18,6,100,75,59.1,86,92.5
